Vaccine type,Town,Vaccine coverage
דלקת כבד A-HAV,בית גוברין,86%
דלקת כבד A-HAV,אשל הנשיא,67%
דלקת כבד A-HAV,עראבה (ג'נין),100%
דלקת כבד A-HAV,עמוקה,75%
דלקת כבד A-HAV,עין אל-אסד,70%
דלקת כבד A-HAV,סלואד,0%
דלקת כבד A-HAV,נעורים,50%
דלקת כבד A-HAV,נור א-שמס,100%
דלקת כבד A-HAV,"נווה אטי""ב",25%
דלקת כבד A-HAV,מלאה,71%
דלקת כבד A-HAV,כפר נעמה,0%
דלקת כבד A-HAV,טובאס,75%
דלקת כבד A-HAV,ח'אראס,0%
דלקת כבד A-HAV,אמציה,42%
דלקת כבד A-HAV,אלקוש,50%
דלקת כבד A-HAV,אוהד,0%
דלקת כבד A-HAV,אדירים,43%
דלקת כבד A-HAV,תלמי יוסף,67%
דלקת כבד A-HAV,תלמי אליהו,71%
דלקת כבד A-HAV,שיזף,71%
דלקת כבד A-HAV,שורשים,50%
דלקת כבד A-HAV,שדי אברהם,14%
דלקת כבד A-HAV,רמת טראמפ,55%
דלקת כבד A-HAV,ראס אל-עין,55%
דלקת כבד A-HAV,קצרה,100%
דלקת כבד A-HAV,קדרים,40%
דלקת כבד A-HAV,עין חרוד (איחוד),57%
דלקת כבד A-HAV,עוזה,50%
דלקת כבד A-HAV,עדנים,67%
דלקת כבד A-HAV,מצפה שלם,50%
דלקת כבד A-HAV,מלכישוע,20%
דלקת כבד A-HAV,כפר חסידים ב',40%
דלקת כבד A-HAV,ישע,33%
דלקת כבד A-HAV,טמון,0%
דלקת כבד A-HAV,חלץ,56%
דלקת כבד A-HAV,גיזו,67%
דלקת כבד A-HAV,גבעולים,56%
דלקת כבד A-HAV,בית זיד,0%
דלקת כבד A-HAV,אשדות יעקב  (איחוד),85%
דלקת כבד A-HAV,ארגמן,40%
דלקת כבד A-HAV,אבו שח'ידם,0%
דלקת כבד A-HAV,אבו קורינאת (יישוב),91%
דלקת כבד A-HAV,שיוחי,100%
דלקת כבד A-HAV,רביד,67%
דלקת כבד A-HAV,פרעון,67%
דלקת כבד A-HAV,פרעה אל-ג'יפטליק,100%
דלקת כבד A-HAV,עתיל,67%
דלקת כבד A-HAV,ענבתא,0%
דלקת כבד A-HAV,עטארה.,0%
דלקת כבד A-HAV,סלפית,50%
דלקת כבד A-HAV,נורית,50%
דלקת כבד A-HAV,מקווה ישראל,50%
דלקת כבד A-HAV,ח'רבתא-אל-חארתיה,0%
דלקת כבד A-HAV,ג'פנא,100%
דלקת כבד A-HAV,ג'יוס,0%
דלקת כבד A-HAV,בלעא,100%
דלקת כבד A-HAV,בית אגזא,50%
דלקת כבד A-HAV,אחווה,60%
דלקת כבד A-HAV,שויכה,100%
דלקת כבד A-HAV,שדה משה,50%
דלקת כבד A-HAV,ראפאת-ראמאללה,0%
דלקת כבד A-HAV,פרי גן,67%
דלקת כבד A-HAV,עין א-סלטאן,0%
דלקת כבד A-HAV,עיינות,38%
דלקת כבד A-HAV,עבוין,100%
דלקת כבד A-HAV,ניצנה (קהילת חינוך),100%
דלקת כבד A-HAV,נווה איתן,67%
דלקת כבד A-HAV,כפר הנוער הדתי,43%
דלקת כבד A-HAV,ירקונה,63%
דלקת כבד A-HAV,טללים,63%
דלקת כבד A-HAV,חוסאן,100%
דלקת כבד A-HAV,זאויה.,100%
דלקת כבד A-HAV,ורדון,46%
דלקת כבד A-HAV,גורנות הגליל,50%
דלקת כבד A-HAV,ג'דירה,0%
דלקת כבד A-HAV,בית צבי,75%
דלקת כבד A-HAV,בית פג'אר,100%
דלקת כבד A-HAV,בדיא,100%
דלקת כבד A-HAV,אפיניש (שבט),57%
דלקת כבד A-HAV,תל ציון,86%
דלקת כבד A-HAV,שקבא,0%
דלקת כבד A-HAV,רפיח,100%
דלקת כבד A-HAV,רועי,33%
דלקת כבד A-HAV,ראס כרכר,0%
דלקת כבד A-HAV,קבאטיה,50%
דלקת כבד A-HAV,מבואות ים,50%
דלקת כבד A-HAV,כיסופים,57%
דלקת כבד A-HAV,טייבה (בעמק),98%
דלקת כבד A-HAV,זוהר,20%
דלקת כבד A-HAV,דיר אל-גצון,100%
דלקת כבד A-HAV,גדיש,60%
דלקת כבד A-HAV,בקעות,60%
דלקת כבד A-HAV,בלאטה,100%
דלקת כבד A-HAV,בית סירא,100%
דלקת כבד A-HAV,בית ברל,100%
דלקת כבד A-HAV,שזור,46%
דלקת כבד A-HAV,עטאוונה (שבט),100%
דלקת כבד A-HAV,סנג'ל,0%
דלקת כבד A-HAV,מאיר שפיה,0%
דלקת כבד A-HAV,כנות,0%
דלקת כבד A-HAV,חולית,50%
דלקת כבד A-HAV,דיוכ,100%
דלקת כבד A-HAV,ביתין,0%
דלקת כבד A-HAV,בית איבא,0%
דלקת כבד A-HAV,אליפז,50%
דלקת כבד A-HAV,אל-עריאן,44%
דלקת כבד A-HAV,אל-עזי,50%
דלקת כבד A-HAV,תענך,100%
דלקת כבד A-HAV,פואר,100%
דלקת כבד A-HAV,עסכר,0%
דלקת כבד A-HAV,עין יברוד,0%
דלקת כבד A-HAV,עין חצבה,75%
דלקת כבד A-HAV,עזון,100%
דלקת כבד A-HAV,מגיר-ראמאללה,100%
דלקת כבד A-HAV,לפידות,0%
דלקת כבד A-HAV,כפר עין,100%
דלקת כבד A-HAV,ירדנה,67%
דלקת כבד A-HAV,טורה אל-גבריה,100%
דלקת כבד A-HAV,ברטעה,100%
דלקת כבד A-HAV,בן שמן (כפר נוער),67%
דלקת כבד A-HAV,בית כאחל,100%
דלקת כבד A-HAV,בית דגן (שכם),0%
דלקת כבד A-HAV,באקה א-שרקיה,0%
דלקת כבד A-HAV,שופה,100%
דלקת כבד A-HAV,ראס סניסל,0%
דלקת כבד A-HAV,קבלאן,50%
דלקת כבד A-HAV,פקועה,100%
דלקת כבד A-HAV,ערקה,100%
דלקת כבד A-HAV,סילת אל-חארתיה,100%
דלקת כבד A-HAV,נמרוד,0%
דלקת כבד A-HAV,נווה זוהר,50%
דלקת כבד A-HAV,מח'מאס,0%
דלקת כבד A-HAV,כפר סילבר,33%
דלקת כבד A-HAV,כפר גלים,60%
דלקת כבד A-HAV,יעל,100%
דלקת כבד A-HAV,יעבד,100%
דלקת כבד A-HAV,ח'רסה,0%
דלקת כבד A-HAV,זבובה,100%
דלקת כבד A-HAV,דנאבה,0%
דלקת כבד A-HAV,דיר בלוט,100%
דלקת כבד A-HAV,דיר אל-עסל פוקא,0%
דלקת כבד A-HAV,דיר אבו משעל,50%
דלקת כבד A-HAV,דיר אבו דעיף,75%
דלקת כבד A-HAV,ג'מאעין,100%
דלקת כבד A-HAV,ג'ורת א-שמעה,100%
דלקת כבד A-HAV,ברק,54%
דלקת כבד A-HAV,בית ארוש  א-תחתא,0%
דלקת כבד A-HAV,ארתאח,50%
דלקת כבד A-HAV,אבו קש,0%
דלקת כבד A-HAV,קפין,100%
דלקת כבד A-HAV,צרה,100%
דלקת כבד A-HAV,צידא,100%
דלקת כבד A-HAV,עין קיניה,0%
דלקת כבד A-HAV,עוקבי (בנו עוקבה),91%
דלקת כבד A-HAV,עג'ה,67%
דלקת כבד A-HAV,סואעד (חמרייה)(שבט),100%
דלקת כבד A-HAV,נצאצרה (שבט),100%
דלקת כבד A-HAV,נירן,100%
דלקת כבד A-HAV,נווה חריף,33%
דלקת כבד A-HAV,מצפה,50%
דלקת כבד A-HAV,כרם יבנה (ישיבה),80%
דלקת כבד A-HAV,כרם בן שמן,67%
דלקת כבד A-HAV,כפר רוזנואלד (זרעית),100%
דלקת כבד A-HAV,כפר קוד,100%
דלקת כבד A-HAV,כפר דאן,100%
דלקת כבד A-HAV,יתיר,67%
דלקת כבד A-HAV,יאציד,100%
דלקת כבד A-HAV,טמרה (יזרעאל),98%
דלקת כבד A-HAV,חג'ה,100%
דלקת כבד A-HAV,זיתא,100%
דלקת כבד A-HAV,דיר ג'ריר,0%
דלקת כבד A-HAV,דייר ראפאת,33%
דלקת כבד A-HAV,בני סהילה,100%
דלקת כבד A-HAV,ביתלו,100%
דלקת כבד A-HAV,אשבל,54%
דלקת כבד A-HAV,אלוני יצחק,100%
דלקת כבד A-HAV,שלווה במדבר,0%
דלקת כבד A-HAV,קרית יערים(מוסד),100%
דלקת כבד A-HAV,קירה,100%
דלקת כבד A-HAV,"עין כרם-בי""ס חקלאי",0%
דלקת כבד A-HAV,עורתא,100%
דלקת כבד A-HAV,סילת א-דהר,100%
דלקת כבד A-HAV,נזלת אבו נאר,100%
דלקת כבד A-HAV,מג'דל בני פאדל,100%
דלקת כבד A-HAV,מאדמא,100%
דלקת כבד A-HAV,כרמל (חברון),100%
דלקת כבד A-HAV,כפר א-לבד,100%
דלקת כבד A-HAV,חאן יונס,100%
דלקת כבד A-HAV,ח'רבת אבו פלאח,100%
דלקת כבד A-HAV,ח'ואלד (שבט),100%
דלקת כבד A-HAV,האשמיה,100%
דלקת כבד A-HAV,גבעת שמש,100%
דלקת כבד A-HAV,גבעות עדן,100%
דלקת כבד A-HAV,ג'נצאפוט,100%
דלקת כבד A-HAV,ג'דידה,100%
דלקת כבד A-HAV,ג'בע-ג'נין,100%
דלקת כבד A-HAV,בית לאהיה,100%
דלקת כבד A-HAV,אבו עמאר (שבט),50%
דלקת כבד A-HAV,אבו סריחאן (שבט),100%
דלקת כבד B-HBV,ירושלים,80%
דלקת כבד B-HBV,תל אביב - יפו,94%
דלקת כבד B-HBV,נתניה,93%
דלקת כבד B-HBV,בית שמש,74%
דלקת כבד B-HBV,בני ברק,92%
דלקת כבד B-HBV,חיפה,94%
דלקת כבד B-HBV,אשדוד,95%
דלקת כבד B-HBV,ראשון לציון,94%
דלקת כבד B-HBV,פתח תקווה,94%
דלקת כבד B-HBV,באר שבע,95%
דלקת כבד B-HBV,בת ים,92%
דלקת כבד B-HBV,חולון,94%
דלקת כבד B-HBV,אשקלון,94%
דלקת כבד B-HBV,רחובות,91%
דלקת כבד B-HBV,רמת גן,95%
דלקת כבד B-HBV,מודיעין עילית,83%
דלקת כבד B-HBV,ביתר עילית,86%
דלקת כבד B-HBV,הרצליה,92%
דלקת כבד B-HBV,רעננה,94%
דלקת כבד B-HBV,חדרה,91%
דלקת כבד B-HBV,צפת,69%
דלקת כבד B-HBV,לוד,94%
דלקת כבד B-HBV,כפר סבא,94%
דלקת כבד B-HBV,טבריה,85%
דלקת כבד B-HBV,נתיבות,90%
דלקת כבד B-HBV,קרית גת,91%
דלקת כבד B-HBV,רהט,99%
דלקת כבד B-HBV,חריש,83%
דלקת כבד B-HBV,רמלה,95%
דלקת כבד B-HBV,אלעד,90%
דלקת כבד B-HBV,ראש העין,91%
דלקת כבד B-HBV,מודיעין-מכבים-רעות,93%
דלקת כבד B-HBV,עפולה,93%
דלקת כבד B-HBV,אילת,92%
דלקת כבד B-HBV,נהריה,95%
דלקת כבד B-HBV,פרדס חנה-כרכור,85%
דלקת כבד B-HBV,גבעתיים,96%
דלקת כבד B-HBV,הוד השרון,93%
דלקת כבד B-HBV,עכו,96%
דלקת כבד B-HBV,אופקים,91%
דלקת כבד B-HBV,נוף הגליל,87%
דלקת כבד B-HBV,כרמיאל,93%
דלקת כבד B-HBV,יבנה,95%
דלקת כבד B-HBV,שדרות,95%
דלקת כבד B-HBV,קרית אתא,95%
דלקת כבד B-HBV,קרית ים,94%
דלקת כבד B-HBV,רמת השרון,91%
דלקת כבד B-HBV,מסעודין אל-עזאזמה,89%
דלקת כבד B-HBV,נצרת,99%
דלקת כבד B-HBV,קרית מוצקין,96%
דלקת כבד B-HBV,קרית מלאכי,87%
דלקת כבד B-HBV,ערד,96%
דלקת כבד B-HBV,גבעת זאב,79%
דלקת כבד B-HBV,קרית ביאליק,95%
דלקת כבד B-HBV,דימונה,96%
דלקת כבד B-HBV,אור יהודה,95%
דלקת כבד B-HBV,אום אל-פחם,99%
דלקת כבד B-HBV,מעלה אדומים,95%
דלקת כבד B-HBV,מגדל העמק,92%
דלקת כבד B-HBV,נס ציונה,91%
דלקת כבד B-HBV,קרית אונו,97%
דלקת כבד B-HBV,גבעת שמואל,94%
דלקת כבד B-HBV,טירת כרמל,96%
דלקת כבד B-HBV,רכסים,89%
דלקת כבד B-HBV,טייבה,99%
דלקת כבד B-HBV,אור עקיבא,95%
דלקת כבד B-HBV,חורה,97%
דלקת כבד B-HBV,זכרון יעקב,90%
דלקת כבד B-HBV,תל שבע,98%
דלקת כבד B-HBV,יהוד,92%
דלקת כבד B-HBV,ערערה-בנגב,97%
דלקת כבד B-HBV,כסיפה,97%
דלקת כבד B-HBV,כפר יונה,92%
דלקת כבד B-HBV,באר יעקב,97%
דלקת כבד B-HBV,גדרה,89%
דלקת כבד B-HBV,קרית טבעון,80%
דלקת כבד B-HBV,לקיה,97%
דלקת כבד B-HBV,מבשרת ציון,94%
דלקת כבד B-HBV,"כפר חב""ד",77%
דלקת כבד B-HBV,יקנעם עילית,93%
דלקת כבד B-HBV,נשר,95%
דלקת כבד B-HBV,אריאל,93%
דלקת כבד B-HBV,מעלות-תרשיחא,90%
דלקת כבד B-HBV,טירה,98%
דלקת כבד B-HBV,כוכב יעקב,78%
דלקת כבד B-HBV,בית שאן,95%
דלקת כבד B-HBV,שפרעם,100%
דלקת כבד B-HBV,גני תקווה,94%
דלקת כבד B-HBV,קרית שמונה,97%
דלקת כבד B-HBV,כפר קאסם,99%
דלקת כבד B-HBV,באקה אל-גרביה,100%
דלקת כבד B-HBV,שילה,67%
דלקת כבד B-HBV,טמרה,100%
דלקת כבד B-HBV,שגב-שלום,95%
דלקת כבד B-HBV,גן יבנה,91%
דלקת כבד B-HBV,אפרת,81%
דלקת כבד B-HBV,סח'נין,100%
דלקת כבד B-HBV,שוהם,95%
דלקת כבד B-HBV,קדימה-צורן,94%
דלקת כבד B-HBV,קלנסווה,99%
דלקת כבד B-HBV,בת עין,17%
דלקת כבד B-HBV,חברון,45%
דלקת כבד B-HBV,עראבה,100%
דלקת כבד B-HBV,כפר עקב,7%
דלקת כבד B-HBV,קרית יערים,87%
דלקת כבד B-HBV,קרית ארבע,83%
דלקת כבד B-HBV,עמנואל,76%
דלקת כבד B-HBV,כפר כנא,100%
דלקת כבד B-HBV,כפר מנדא,100%
דלקת כבד B-HBV,בנימינה-גבעת עדה,87%
דלקת כבד B-HBV,ערערה,100%
דלקת כבד B-HBV,תקוע,50%
דלקת כבד B-HBV,תקוע,67%
דלקת כבד B-HBV,קרני שומרון,94%
דלקת כבד B-HBV,כפר קרע,100%
דלקת כבד B-HBV,מעלה עירון,100%
דלקת כבד B-HBV,חצור הגלילית,95%
דלקת כבד B-HBV,קצרין,85%
דלקת כבד B-HBV,יצהר,55%
דלקת כבד B-HBV,אבן יהודה,89%
דלקת כבד B-HBV,אזור,94%
דלקת כבד B-HBV,ירוחם,96%
דלקת כבד B-HBV,יד בנימין,57%
דלקת כבד B-HBV,תל מונד,94%
דלקת כבד B-HBV,אלעיזריה,44%
דלקת כבד B-HBV,מגאר,100%
דלקת כבד B-HBV,מצפה רמון,84%
דלקת כבד B-HBV,יבנאל,79%
דלקת כבד B-HBV,ג'דיידה-מכר,100%
דלקת כבד B-HBV,יפיע,99%
דלקת כבד B-HBV,מזכרת בתיה,94%
דלקת כבד B-HBV,קרית עקרון,89%
דלקת כבד B-HBV,קיסריה,83%
דלקת כבד B-HBV,גבע בנימין,78%
דלקת כבד B-HBV,ענאתא,36%
דלקת כבד B-HBV,אכסאל,99%
דלקת כבד B-HBV,אבו רובייעה (שבט),93%
דלקת כבד B-HBV,בית אל,91%
דלקת כבד B-HBV,טלמון,91%
דלקת כבד B-HBV,צור הדסה,93%
דלקת כבד B-HBV,עתלית,95%
דלקת כבד B-HBV,ריינה,100%
דלקת כבד B-HBV,ג'סר א-זרקא,100%
דלקת כבד B-HBV,נחף,99%
דלקת כבד B-HBV,טורעאן,100%
דלקת כבד B-HBV,כוכב השחר,64%
דלקת כבד B-HBV,"בסמ""ה",100%
דלקת כבד B-HBV,עלי,93%
דלקת כבד B-HBV,אורנית,92%
דלקת כבד B-HBV,ג'לג'וליה,98%
דלקת כבד B-HBV,ג'ת,99%
דלקת כבד B-HBV,מיתר,96%
דלקת כבד B-HBV,אבו גוש,94%
דלקת כבד B-HBV,"בני עי""ש",88%
דלקת כבד B-HBV,ביר הדאג',88%
דלקת כבד B-HBV,דייר אל-אסד,99%
דלקת כבד B-HBV,גני מודיעין,72%
דלקת כבד B-HBV,כוכב יאיר,93%
דלקת כבד B-HBV,מג'ד אל-כרום,99%
דלקת כבד B-HBV,אלפי מנשה,91%
דלקת כבד B-HBV,עין מאהל,99%
דלקת כבד B-HBV,ראם,35%
דלקת כבד B-HBV,עומר,91%
דלקת כבד B-HBV,ירכא,100%
דלקת כבד B-HBV,אבו ג'ווייעד (שבט),90%
דלקת כבד B-HBV,פרדסיה,94%
דלקת כבד B-HBV,פוריידיס,99%
דלקת כבד B-HBV,אעצם (שבט),94%
דלקת כבד B-HBV,רמת ישי,94%
דלקת כבד B-HBV,ראמאללה,55%
דלקת כבד B-HBV,עין נקובא,93%
דלקת כבד B-HBV,ברכה,90%
דלקת כבד B-HBV,אטרש (שבט),86%
דלקת כבד B-HBV,כאבול,100%
דלקת כבד B-HBV,אום בטין,95%
דלקת כבד B-HBV,אבו סנאן,100%
דלקת כבד B-HBV,אבו רוקייק (שבט),95%
דלקת כבד B-HBV,דאלית אל-כרמל,100%
דלקת כבד B-HBV,בית דגן,95%
דלקת כבד B-HBV,נוקדים,87%
דלקת כבד B-HBV,בית לחם,68%
דלקת כבד B-HBV,כליל,32%
דלקת כבד B-HBV,זמר,99%
דלקת כבד B-HBV,אעבלין,100%
דלקת כבד B-HBV,בית אריה,91%
דלקת כבד B-HBV,עילוט,100%
דלקת כבד B-HBV,כפר ורדים,78%
דלקת כבד B-HBV,בועיינה-נוג'ידאת,100%
דלקת כבד B-HBV,איתמר,65%
דלקת כבד B-HBV,עספיא,98%
דלקת כבד B-HBV,מצפה יריחו,75%
דלקת כבד B-HBV,אבו קורינאת (שבט),93%
דלקת כבד B-HBV,בית ג'אלא,85%
דלקת כבד B-HBV,דייר חנא,100%
דלקת כבד B-HBV,סוסיה,64%
דלקת כבד B-HBV,קדומים,88%
דלקת כבד B-HBV,כסרא-סמיע,100%
דלקת כבד B-HBV,זרזיר,99%
דלקת כבד B-HBV,תפרח,85%
דלקת כבד B-HBV,כפר אדומים,88%
דלקת כבד B-HBV,דבוריה,100%
דלקת כבד B-HBV,אלון שבות,81%
דלקת כבד B-HBV,עלי זהב,97%
דלקת כבד B-HBV,כפר יאסיף,99%
דלקת כבד B-HBV,כפר ברא,98%
דלקת כבד B-HBV,קציר,69%
דלקת כבד B-HBV,אליכין,80%
דלקת כבד B-HBV,שלומי,97%
דלקת כבד B-HBV,אלקנה,95%
דלקת כבד B-HBV,ביר אל-מכסור,99%
דלקת כבד B-HBV,אספר,70%
דלקת כבד B-HBV,אלון מורה,85%
דלקת כבד B-HBV,אל סייד,99%
דלקת כבד B-HBV,צור יצחק,95%
דלקת כבד B-HBV,סביון,89%
דלקת כבד B-HBV,בסמת טבעון,99%
דלקת כבד B-HBV,להבים,97%
דלקת כבד B-HBV,משהד,100%
דלקת כבד B-HBV,ברקת,72%
דלקת כבד B-HBV,ראש פינה,72%
דלקת כבד B-HBV,חשמונאים,87%
דלקת כבד B-HBV,אבו דיס,29%
דלקת כבד B-HBV,אל בירה,60%
דלקת כבד B-HBV,אבני חפץ,88%
דלקת כבד B-HBV,כפר תפוח,79%
דלקת כבד B-HBV,בית ג'ן,99%
דלקת כבד B-HBV,אבו תלול,95%
דלקת כבד B-HBV,עפרה,91%
דלקת כבד B-HBV,שעב,100%
דלקת כבד B-HBV,קודייראת א-צאנע(שבט),87%
דלקת כבד B-HBV,בענה,98%
דלקת כבד B-HBV,ראמה,99%
דלקת כבד B-HBV,טובא-זנגריה,100%
דלקת כבד B-HBV,הרדוף,24%
דלקת כבד B-HBV,אור הגנוז,13%
דלקת כבד B-HBV,מירון,59%
דלקת כבד B-HBV,שבלי - אום אל-גנם,100%
דלקת כבד B-HBV,רבבה,88%
דלקת כבד B-HBV,יקיר,91%
דלקת כבד B-HBV,אחיעזר,81%
דלקת כבד B-HBV,מעלה עמוס,74%
דלקת כבד B-HBV,מג'דל שמס,100%
דלקת כבד B-HBV,בת חפר,95%
דלקת כבד B-HBV,יודפת,39%
דלקת כבד B-HBV,נווה דניאל,84%
דלקת כבד B-HBV,בית אלפא,96%
דלקת כבד B-HBV,כפר תבור,91%
דלקת כבד B-HBV,כפר שמריהו,81%
דלקת כבד B-HBV,שבי שומרון,67%
דלקת כבד B-HBV,קצר א-סר,99%
דלקת כבד B-HBV,מוקייבלה,100%
דלקת כבד B-HBV,ברוכין,98%
דלקת כבד B-HBV,הררית,50%
דלקת כבד B-HBV,בית קשת,63%
דלקת כבד B-HBV,מבוא דותן,64%
דלקת כבד B-HBV,אמירים,44%
דלקת כבד B-HBV,כעביה-טבאש-חג'אג'רה,100%
דלקת כבד B-HBV,צופים,86%
דלקת כבד B-HBV,בית חנינא,46%
דלקת כבד B-HBV,מטולה,81%
דלקת כבד B-HBV,חיננית,88%
דלקת כבד B-HBV,מעלה אפרים,76%
דלקת כבד B-HBV,פסגות,91%
דלקת כבד B-HBV,מולדה,86%
דלקת כבד B-HBV,מרכז שפירא,95%
דלקת כבד B-HBV,חוקוק,93%
דלקת כבד B-HBV,אלעזר,79%
דלקת כבד B-HBV,כפר שמאי,45%
דלקת כבד B-HBV,מעון,43%
דלקת כבד B-HBV,מכמורת,92%
דלקת כבד B-HBV,ג'ולס,100%
דלקת כבד B-HBV,רותם,17%
דלקת כבד B-HBV,כפר כמא,92%
דלקת כבד B-HBV,בר יוחאי,76%
דלקת כבד B-HBV,יסוד המעלה,77%
דלקת כבד B-HBV,שכם,70%
דלקת כבד B-HBV,שובה,72%
דלקת כבד B-HBV,מבוא חורון,87%
דלקת כבד B-HBV,יריחו,77%
דלקת כבד B-HBV,שער שומרון,94%
דלקת כבד B-HBV,מעלה מכמש,91%
דלקת כבד B-HBV,חורפיש,100%
דלקת כבד B-HBV,הר אדר,92%
דלקת כבד B-HBV,סעיר,67%
דלקת כבד B-HBV,סואחרה,33%
דלקת כבד B-HBV,ניצן,92%
דלקת כבד B-HBV,מזרעה,99%
דלקת כבד B-HBV,יאנוח-ג'ת,100%
דלקת כבד B-HBV,פדואל,84%
דלקת כבד B-HBV,עיילבון,99%
דלקת כבד B-HBV,נווה,90%
דלקת כבד B-HBV,צבעון,42%
דלקת כבד B-HBV,ענב,83%
דלקת כבד B-HBV,נוף איילון,96%
דלקת כבד B-HBV,סלמה,98%
דלקת כבד B-HBV,דולב,91%
דלקת כבד B-HBV,קלקליה,89%
דלקת כבד B-HBV,צור משה,87%
דלקת כבד B-HBV,איבים,98%
דלקת כבד B-HBV,בוקעאתא,99%
דלקת כבד B-HBV,עתניאל,71%
דלקת כבד B-HBV,עוזייר,100%
דלקת כבד B-HBV,מעגן מיכאל,89%
דלקת כבד B-HBV,מגדל,88%
דלקת כבד B-HBV,גן נר,95%
דלקת כבד B-HBV,בית יצחק-שער חפר,93%
דלקת כבד B-HBV,סאג'ור,99%
דלקת כבד B-HBV,נחליאל,58%
דלקת כבד B-HBV,מטע,73%
דלקת כבד B-HBV,כרמי יוסף,96%
דלקת כבד B-HBV,ג'נאביב (שבט),88%
דלקת כבד B-HBV,בית רבן,86%
דלקת כבד B-HBV,ביריה,67%
דלקת כבד B-HBV,ע'ג'ר,99%
דלקת כבד B-HBV,נופים,87%
דלקת כבד B-HBV,טירת צבי,87%
דלקת כבד B-HBV,גבעון החדשה,74%
דלקת כבד B-HBV,שבי ציון,83%
דלקת כבד B-HBV,אבני איתן,83%
דלקת כבד B-HBV,מתן,94%
דלקת כבד B-HBV,חספין,96%
דלקת כבד B-HBV,תראבין א-צאנע (שבט),91%
דלקת כבד B-HBV,שפר,56%
דלקת כבד B-HBV,נעלה,90%
דלקת כבד B-HBV,רחלים,92%
דלקת כבד B-HBV,באר גנים,95%
דלקת כבד B-HBV,בני דקלים,92%
דלקת כבד B-HBV,רשפון,83%
דלקת כבד B-HBV,סולם,99%
דלקת כבד B-HBV,אלומה,92%
דלקת כבד B-HBV,אבטין,99%
דלקת כבד B-HBV,קשת,74%
דלקת כבד B-HBV,נורדיה,90%
דלקת כבד B-HBV,מעלה לבונה,85%
דלקת כבד B-HBV,מכחול,95%
דלקת כבד B-HBV,בית חלקיה,79%
דלקת כבד B-HBV,פני חבר,57%
דלקת כבד B-HBV,מדרשת בן גוריון,82%
דלקת כבד B-HBV,כפר פינס,82%
דלקת כבד B-HBV,אליקים,73%
דלקת כבד B-HBV,אחוזת ברק,95%
דלקת כבד B-HBV,אביחיל,86%
דלקת כבד B-HBV,כאוכב אבו אל-היג'א,100%
דלקת כבד B-HBV,בית זית,77%
דלקת כבד B-HBV,טול כרם,96%
דלקת כבד B-HBV,מעיליא,93%
דלקת כבד B-HBV,יושיביה,74%
דלקת כבד B-HBV,דורא,69%
דלקת כבד B-HBV,ברקן,92%
דלקת כבד B-HBV,מנחמיה,87%
דלקת כבד B-HBV,אורה,85%
דלקת כבד B-HBV,שייח' דנון,100%
דלקת כבד B-HBV,שדה נחמיה,92%
דלקת כבד B-HBV,מאור,85%
דלקת כבד B-HBV,יאטה,85%
דלקת כבד B-HBV,אבן שמואל,85%
דלקת כבד B-HBV,שתולים,94%
דלקת כבד B-HBV,קדר,88%
דלקת כבד B-HBV,מייסר,99%
דלקת כבד B-HBV,"כרם מהר""ל",65%
דלקת כבד B-HBV,כפר חושן,83%
דלקת כבד B-HBV,טל שחר,83%
דלקת כבד B-HBV,הושעיה,91%
דלקת כבד B-HBV,הגושרים,100%
דלקת כבד B-HBV,בני יהודה,77%
דלקת כבד B-HBV,שמעה,94%
דלקת כבד B-HBV,ספיר,70%
דלקת כבד B-HBV,נטע,86%
דלקת כבד B-HBV,נחלים,95%
דלקת כבד B-HBV,מתתיהו,77%
דלקת כבד B-HBV,מעגלים,95%
דלקת כבד B-HBV,קבועה (שבט),89%
דלקת כבד B-HBV,נחושה,68%
דלקת כבד B-HBV,גבעת ברנר,96%
דלקת כבד B-HBV,פורת,89%
דלקת כבד B-HBV,עולש,75%
דלקת כבד B-HBV,מרחב עם,84%
דלקת כבד B-HBV,שדה ורבורג,91%
דלקת כבד B-HBV,צוקים,44%
דלקת כבד B-HBV,עין יעקב,88%
דלקת כבד B-HBV,מורשת,92%
דלקת כבד B-HBV,חזמא,50%
דלקת כבד B-HBV,בית יהושע,79%
דלקת כבד B-HBV,אבירים,38%
דלקת כבד B-HBV,שדה אליעזר,79%
דלקת כבד B-HBV,רמות השבים,93%
דלקת כבד B-HBV,מוצא עילית,96%
דלקת כבד B-HBV,כפר ויתקין,94%
דלקת כבד B-HBV,אביאל,70%
דלקת כבד B-HBV,גבעת אלה,91%
דלקת כבד B-HBV,גבעת אבני,94%
דלקת כבד B-HBV,בני נצרים,96%
דלקת כבד B-HBV,רומת הייב,100%
דלקת כבד B-HBV,עין ראפה,90%
דלקת כבד B-HBV,ניין,100%
דלקת כבד B-HBV,אחיהוד,83%
דלקת כבד B-HBV,שדות ים,80%
דלקת כבד B-HBV,קלנדיה,50%
דלקת כבד B-HBV,יונתן,81%
דלקת כבד B-HBV,חרשים,20%
דלקת כבד B-HBV,בית סאחור,80%
דלקת כבד B-HBV,בית השיטה,100%
דלקת כבד B-HBV,סלעית,94%
דלקת כבד B-HBV,נווה ימין,85%
דלקת כבד B-HBV,נוב,80%
דלקת כבד B-HBV,הזורע,75%
דלקת כבד B-HBV,דאהריה,94%
דלקת כבד B-HBV,קדרון,76%
